City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,awbari,26.5921,12.7805,89.65,20,0,8.84,LY,1660163296
101,nautla,20.2167,-96.7833,88.63,56,44,13.69,MX,1660163298
102,yellowknife,62.456,-114.3525,66.97,54,100,13.24,CA,1660163073
103,north bend,43.4065,-124.2243,77.23,56,0,9.22,US,1660163303
104,atar,20.5169,-13.0499,100.58,8,29,10.04,MR,1660163305
105,alexandria,31.2156,29.9553,79.34,70,0,7.05,EG,1660163307
106,bandarbeyla,9.4942,50.8122,77.41,81,89,32.44,SO,1660163309
107,iqaluit,63.7506,-68.5145,54.7,66,2,10.0,CA,1660163312
108,vao,-22.6667,167.4833,67.68,56,60,21.54,NC,1660163013
109,new norfolk,-42.7826,147.0587,39.7,80,29,2.75,AU,1660163316
110,san patricio,28.017,-97.5169,99.32,34,11,14.9,US,1660163318
111,reconquista,-29.15,-59.65,60.71,50,100,7.36,AR,1660163321
112,buala,-8.145,159.5921,78.55,82,54,3.85,SB,1660163323
113,takoradi,4.8845,-1.7554,74.25,85,50,9.93,GH,1660163325
114,broken hill,-31.95,141.4333,51.91,73,100,20.8,AU,1660163328
115,vanimo,-2.6741,141.3028,75.61,92,100,4.56,PG,1660163330
116,neuquen,-38.9516,-68.0591,48.09,66,0,8.05,AR,1660163332
117,marburg,50.8167,8.7667,74.19,45,4,5.3,DE,1660163334
118,deer lake,49.1667,-57.4316,71.91,40,0,4.5,CA,1660163337
119,eyl,7.9803,49.8164,77.7,75,99,25.95,SO,1660162871
120,hermanus,-34.4187,19.2345,54.81,88,87,8.7,ZA,1660163341
121,sakaiminato,35.55,133.2333,80.58,89,75,3.44,JP,1660163344
122,lovozero,68.005,35.0117,56.43,82,100,9.62,RU,1660163346
123,kaitangata,-46.2817,169.8464,36.52,87,97,0.72,NZ,1660163349
124,dingle,10.9995,122.6711,75.33,89,99,1.52,PH,1660163351
125,coquimbo,-29.9533,-71.3436,60.53,72,0,10.36,CL,1660163353
126,bressanone,46.715,11.656,74.97,79,91,1.12,IT,1660163355
127,mapiripan,2.8892,-72.1256,82.45,81,63,4.14,CO,1660163358
128,severo-kurilsk,50.6789,156.125,54.99,94,54,10.42,RU,1660163360
129,myitkyina,25.3833,97.4,75.96,92,69,0.51,MM,1660163362
130,kangaatsiaq,68.3065,-53.4641,40.35,97,100,11.68,GL,1660163365
131,nouakchott,18.0858,-15.9785,82.33,82,66,15.48,MR,1660163367
132,ridgecrest,35.6225,-117.6709,96.66,21,0,5.01,US,1660163369
133,cape town,-33.9258,18.4232,57.11,93,75,4.61,ZA,1660163372
134,barrow,71.2906,-156.7887,46.42,76,100,14.97,US,1660163374
135,shimoda,34.6667,138.95,77.11,82,99,3.06,JP,1660162800
136,lazaro cardenas,17.9583,-102.2,88.48,60,99,9.95,MX,1660162826
137,chimbote,-9.0853,-78.5783,66.25,73,22,10.6,PE,1660163380
138,jiazi,22.8779,116.067,79.18,89,14,7.63,CN,1660163383
139,havelock,34.8791,-76.9013,96.75,71,75,17.27,US,1660163209
140,hazorasp,41.3194,61.0742,69.64,33,0,12.3,UZ,1660163387
141,porto walter,-8.2686,-72.7439,78.44,64,100,5.17,BR,1660163389
142,ramhormoz,31.28,49.6035,104.63,11,0,7.49,IR,1660163392
143,tuatapere,-46.1333,167.6833,34.03,92,21,4.45,NZ,1660163394
144,srednekolymsk,67.45,153.6833,64.49,64,21,5.37,RU,1660163396
145,fare,-16.7,-151.0167,77.07,73,1,9.35,PF,1660162972
146,shache,38.4167,77.2406,77.72,46,83,5.66,CN,1660163401
147,nanortalik,60.1432,-45.2371,44.24,88,92,2.48,GL,1660163403
148,kaeo,-35.1,173.7833,50.32,92,89,9.17,NZ,1660163406
149,havoysund,70.9963,24.6622,55.63,92,100,6.29,NO,1660163413
150,kruisfontein,-34.0033,24.7314,51.89,89,99,5.17,ZA,1660163417
151,rantepao,-2.9701,119.8978,65.82,96,100,1.63,ID,1660163420
152,lagoa,39.05,-27.9833,71.01,71,77,8.12,PT,1660163422
153,nemuro,43.3236,145.575,65.79,98,70,10.31,JP,1660162883
154,flinders,-34.5833,150.8552,55.38,83,85,1.99,AU,1660163427
155,khuzhir,53.1939,107.3397,54.28,84,7,10.74,RU,1660163429
156,la ronge,55.1001,-105.2842,64.44,46,21,7.11,CA,1660163431
157,avera,33.194,-82.5271,89.11,42,98,5.19,US,1660163435
158,bengkulu,-3.8004,102.2655,74.79,88,48,4.05,ID,1660163438
159,chengde,40.9725,117.9361,62.1,91,0,3.31,CN,1660163440
160,den helder,52.9599,4.7593,72.01,82,0,11.01,NL,1660163442
161,arrecife,28.963,-13.5477,73.38,68,20,16.11,ES,1660163445
162,port blair,11.6667,92.75,81.14,80,100,13.29,IN,1660163447
163,nizwa,22.9333,57.5333,91.69,36,100,5.75,OM,1660163449
164,uige,-7.6087,15.0613,69.21,56,25,3.31,AO,1660163452
165,leningradskiy,69.3833,178.4167,44.89,87,75,2.28,RU,1660163454
166,chicama,-7.8447,-79.1469,61.34,69,60,8.72,PE,1660163456
167,xucheng,20.35,110.1288,78.28,89,100,5.79,CN,1660163459
168,kahului,20.8947,-156.47,87.82,63,20,23.02,US,1660162963
169,codrington,-38.2667,141.9667,46.94,93,100,14.5,AU,1660163463
170,antsirabe,-19.85,47.0333,46.2,87,47,6.8,MG,1660163466
171,yar-sale,66.8333,70.8333,47.7,73,14,5.75,RU,1660163468
172,kamenka,51.3223,42.7678,77.72,40,100,10.67,RU,1660163471
173,fairbanks,64.8378,-147.7164,61.02,60,0,3.44,US,1660163445
174,honningsvag,70.9821,25.9704,55.15,94,75,2.3,NO,1660163475
175,vila franca do campo,37.7167,-25.4333,72.01,71,59,7.05,PT,1660163477
176,knoxville,35.9606,-83.9207,75.67,94,100,8.05,US,1660163183
177,pevek,69.7008,170.3133,39.02,93,98,5.32,RU,1660163482
178,port keats,-14.25,129.55,68.77,86,19,3.11,AU,1660163484
179,ribeira grande,38.5167,-28.7,75.6,78,40,4.61,PT,1660163487
180,presidencia roque saenz pena,-26.7852,-60.4388,67.89,34,1,6.26,AR,1660163363
181,ilulissat,69.2167,-51.1,44.62,81,100,6.91,GL,1660163230
182,castro,-24.7911,-50.0119,47.41,91,99,11.59,BR,1660163493
183,jackson,42.4165,-122.8345,84.04,34,0,7.0,US,1660163498
184,mazara del vallo,37.6641,12.588,78.75,72,13,6.26,IT,1660163500
185,astoria,46.1879,-123.8313,67.71,81,100,16.11,US,1660163502
186,bethel,41.3712,-73.414,87.04,54,75,3.44,US,1660163425
187,umuarama,-23.7664,-53.325,51.48,85,94,11.52,BR,1660163506
188,olinda,-8.0089,-34.8553,78.53,69,0,10.36,BR,1660163511
189,kodiak,57.79,-152.4072,56.71,88,100,6.91,US,1660163513
190,burnie,-41.0667,145.9167,49.95,75,100,11.79,AU,1660163516
191,kastamonu,41.5,33.6667,59.23,74,0,4.23,TR,1660163520
192,terrace,54.5163,-128.6035,86.25,35,0,1.1,CA,1660163409
193,torbay,47.6666,-52.7314,59.58,85,100,14.0,CA,1660163525
194,yumen,40.2833,97.2,76.51,34,3,11.97,CN,1660163527
195,fallon,39.4735,-118.7774,90.91,37,40,0.0,US,1660163408
196,sioux lookout,50.1001,-91.917,68.23,44,93,10.51,CA,1660163408
197,dali,25.7,100.1833,63.12,75,37,1.19,CN,1660163534
198,hami,42.8,93.45,89.46,17,26,17.98,CN,1660163536
199,vostok,46.4856,135.8833,55.44,94,55,4.88,RU,1660163539
200,lompoc,34.6391,-120.4579,92.01,65,0,13.8,US,1660163543
201,mangrol,21.1167,70.1167,80.38,91,100,17.9,IN,1660163546
202,kununurra,-15.7667,128.7333,66.18,82,24,4.61,AU,1660163548
203,palaia fokaia,37.72,23.9463,85.84,48,0,18.25,GR,1660163551
204,sainte-rose,16.3324,-61.6979,87.84,66,75,11.5,GP,1660163553
205,georgetown,5.4112,100.3354,80.89,87,20,0.0,MY,1660163319
206,antalaha,-14.9003,50.2788,67.26,79,66,9.78,MG,1660163557
207,predivinsk,57.0669,93.4378,54.99,97,9,1.25,RU,1660163560
208,karlskrona,56.1616,15.5866,61.25,81,6,8.48,SE,1660163562
209,bull savanna,17.8868,-77.5902,84.34,67,33,12.08,JM,1660163564
210,bamiantong,44.9333,130.5333,59.29,85,96,5.97,CN,1660163567
211,amapa,1.0,-52.0,79.93,71,100,2.53,BR,1660163569
212,mendota,36.7536,-120.3816,84.47,18,0,3.13,US,1660163571
213,tabanan,-8.5413,115.1252,77.4,93,41,4.14,ID,1660163574
214,marawi,7.9986,124.2928,67.84,88,60,2.33,PH,1660163576
215,darnah,32.767,22.6367,80.46,63,0,17.2,LY,1660163578
216,kavieng,-2.5744,150.7967,79.47,79,100,1.81,PG,1660163584
217,vila velha,-20.3297,-40.2925,80.55,78,0,20.71,BR,1660163416
218,kumo,10.0447,11.2122,78.12,77,99,7.07,NG,1660163588
219,vagur,61.4732,-6.8119,52.0,86,39,22.19,FO,1660163591
220,wawa,9.9022,4.4192,77.63,78,95,4.29,NG,1660163593
221,phalaborwa,-23.943,31.1411,66.83,49,0,1.9,ZA,1660163595
222,fairview,40.8126,-73.999,89.87,51,75,10.36,US,1660163407
223,zhigansk,66.7697,123.3711,57.72,79,100,8.32,RU,1660163600
224,sur,22.5667,59.5289,88.56,56,100,10.27,OM,1660163602
225,jhang,33.6748,72.6963,88.61,58,0,7.56,PK,1660163605
226,fortuna,40.5982,-124.1573,74.93,69,40,14.97,US,1660163609
227,popondetta,-8.7537,148.2534,73.0,95,100,2.33,PG,1660163611
228,tapes,-30.6733,-51.3958,56.53,80,1,8.1,BR,1660163614
229,quelimane,-17.8786,36.8883,71.55,88,20,5.75,MZ,1660163588
230,juba,4.8517,31.5825,71.2,94,91,2.93,SS,1660163332
231,santa cruz de tenerife,28.4682,-16.2546,75.88,90,75,17.27,ES,1660163431
232,hamilton,39.1834,-84.5333,84.94,72,75,10.36,US,1660163330
233,anadyr,64.75,177.4833,63.1,67,0,11.18,RU,1660163626
234,shenjiamen,29.9576,122.298,81.48,88,47,19.1,CN,1660163628
235,djibo,14.1022,-1.6306,87.44,54,87,10.49,BF,1660163631
236,telega,45.1333,25.7833,61.43,82,64,6.26,RO,1660163633
237,helena,46.5927,-112.0361,92.25,24,0,3.44,US,1660163627
238,zhuhai,22.2769,113.5678,82.18,94,40,16.11,CN,1660163637
239,katherine,-14.4667,132.2667,66.52,68,12,0.0,AU,1660163640
240,kidal,18.4411,1.4078,87.28,43,71,19.46,ML,1660163642
241,itoman,26.1247,127.6694,83.17,83,40,3.44,JP,1660163645
242,raga,8.4596,25.678,70.86,97,100,5.01,SS,1660163647
243,zyryanka,65.75,150.85,66.88,64,99,10.36,RU,1660163649
244,yining,29.0361,114.5636,78.78,72,99,1.97,CN,1660163652
245,sibolga,1.7427,98.7792,75.04,81,64,3.89,ID,1660163654
246,tura,25.5198,90.2201,73.69,90,87,6.67,IN,1660163658
247,port elizabeth,-33.918,25.5701,56.32,91,20,5.75,ZA,1660163661
248,cassilandia,-19.1133,-51.7342,64.69,35,98,11.23,BR,1660163663
249,coihaique,-45.5752,-72.0662,49.95,66,75,6.91,CL,1660163596
250,ardakan,32.31,54.0175,87.26,24,0,6.6,IR,1660163668
251,san andres,12.5847,-81.7006,87.82,74,75,14.97,CO,1660163459
252,roald,62.5833,6.1333,67.15,94,75,28.77,NO,1660163672
253,west mifflin,40.3634,-79.8664,76.75,73,84,1.99,US,1660163571
254,sao joao da barra,-21.6403,-41.0511,78.89,79,100,18.39,BR,1660163676
255,leticia,-4.2153,-69.9406,84.25,70,75,11.5,CO,1660163579
256,bad doberan,54.1071,11.9005,65.93,81,2,8.63,DE,1660163599
257,honiara,-9.4333,159.95,78.89,81,58,3.69,SB,1660163683
258,ambilobe,-13.2,49.05,65.3,75,2,4.16,MG,1660163685
259,kutum,14.2,24.6667,76.03,62,90,3.62,SD,1660163687
260,college,64.8569,-147.8028,61.0,61,40,3.44,US,1660163690
261,bentiu,9.2333,29.8333,74.39,91,100,1.74,SS,1660163692
